2012;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
 ;Java 1;myöhässä;Java 2;myöhässä;Java 3;myöhässä;Java 4;myöhässä;Java 5;myöhässä;Java 6;myöhässä;Teoria 1;myöhässä;Teoria 2;myöhässä;Teoria 3;myöhässä;Teoria 4;myöhässä;Teoria 5;myöhässä;Arkkitehtuuri;Koodi;Käyttökokemus;Raportti;Arvosana;Arvosana;;"Portfolio
(15-30 joinain vuosina %)";Painotettu keskiarvo;Arvosana;
345846;3;;4;;3;;4;;5;;;;3;;2;;5;;4;;4;;1.5;2.5;1.5;1.5;1.85;2;;3.8;3.2;3;
345859;4;;4;;3;;3;;4;;;;4;;5;;4;;5;;5;;2;3;4;4;3.35;4;;4.4;3.86;4;
79393N;3;1;2;;1;;0;2;5;;;;2;1;3;;2;;0;1;2;1;2;2.5;2.5;2;2.35;;2;3.8;2.48;2;
79658M;5;;4;1;5;;3;1;5;;;;;;;;;;;;;;;;;;;5;;;;;
81986B;4;;5;;5;;5;;6;;;;5;;2;;3;;2;;3;;4.5;4;3.5;3;3.85;5;;3.8;4.26;4;
84586V;4;;5;;3;;4;;5;;;;4;;1;;4;;1;muu;4;;3.5;4;4;3;3.73;5;;4.2;3.98;4;
84687E;4;;2;;1;;0;3;5;;;;2;;1;;2;;2;;3;1;3;3.5;2.5;3.5;3.23;4;;4;2.91;3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
217110;2;;3;muu;2;;1;1;5;;3;;1;;3;;1;;2;;3;;4;4;2;3.5;3.38;4;;3.04;2.9;3;
217136;3;;4;;2;;5;;5;;5;;1;1;3;1;4;;3;1;3;;3;4;4.5;4;3.88;2;;4.04;3.6;4;
217152;4;;3;;3;;4;;5;;5;;1;;3;;5;;5;;2;;4.5;4;4;4.5;4.25;3;;5;3.98;4;
217204;4;;5;;1;;4;;5;;5;;2;;3;;3;;3;;2;;3.5;3.5;3.5;4.5;3.75;2;;4.04;3.55;4;
217220;4;;4;;3;;4;;3;;3;;2;1;2;;2;;3;;2;;4.5;4;4.5;3;4;2;;4.44;3.4;3;
217233;1;muu;2;muu;2;;;;;;;;4;;3;;1;;;;;;;;;;;;;;;;
217262;5;;5;;5;;4;;6;;5;;2;;4;;5;;5;;4;;5;5;4.5;5;4.88;4;;5.04;4.73;5;
217291;2;;5;;4;;5;;5;;5;;4;;3;;5;;4;;3;;1.5;1;1.5;3;1.75;3;;4.04;3.56;4;
223939;3;;1;;3;;3;;2;;4;;3;;1;;2;;1;;4;;;;;;0.56;0;1;3.6;2.15;2;
225490;5;;5;;3;;3;;5;;5;;4;;4;;4;;5;;4;;5;5;5;4;4.75;4;;5.04;4.47;4;
265913;4;;5;;3;;3;;5;;4;;4;;1;;3;;2;;2;;4.5;3;3;4.5;3.75;2;;4.44;3.58;4;
290195;4;;5;;4;;4;;5;;5;;4;;4;;4;;5;;5;;4.5;4;4;4;4.13;3;;4.84;4.31;4;
290205;4;;3;;2;;3;;1;;4;;2;;1;;2;;2;;3;;3;2;2;2.5;2.38;0;0;2.64;2.3;2;
290250;5;;5;;2;;5;;6;;6;;4;;4;;2;;4;;4;;4.5;4;3;4;3.88;3;;4.04;4.15;4;
290263;3;;3;;3;;3;;4;;4;;3;;4;;3;;3;;1;;3;3;3.5;3.5;3.25;0;0;4.64;3.2;3;
290289;4;;5;;4;;5;muu;5;;5;;4;;4;;4;;5;;4;;5;5;4;5;4.75;4;;4.84;4.57;5;
290292;3;;4;;4;;3;;;;5;;3;1;2;1;4;;3;;4;;4.5;4;3.5;3.5;3.88;2;0;3.44;3.57;4;
290344;3;;3;muu;2;;1;;1;;2;;2;;2;;1;1;2;;2;1;2.5;2;1.5;4;;0;;4;2.9;3;
290357;3;;5;;4;;3;;3;;5;;2;1;4;;2;1;2;1;3;muu;3.5;3.5;3;4;3.5;0;2;5.04;3.58;4;
290360;5;;5;;2;;2;;5;;3;;2;;2;;2;;2;1;2;1;3.5;3.5;4;4;3.75;2;;4.44;3.38;3;
290412;5;;4;;3;;1;;1;;2;;2;;1;;2;;1;;2;;;;;;;0;;3;2.3;2;
290438;4;;3;;2;;4;muu;1;;3;;3;;1;;2;1;4;;1;2;3.5;3.5;3;3;3.25;2;;4.64;3.01;3;
