2012;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;KURSSI;
 ;Java 1;myöhässä;Java 2;myöhässä;Java 3;myöhässä;Java 4;myöhässä;Java 5;myöhässä;Java 6;myöhässä;Teoria 1;myöhässä;Teoria 2;myöhässä;Teoria 3;myöhässä;Teoria 4;myöhässä;Teoria 5;myöhässä;Arkkitehtuuri;Koodi;Käyttökokemus;Raportti;Arvosana;Arvosana;;Painotettu keskiarvo;Arvosana
79605S;3;;5;;3;;4;;4;;3;;3;;4;;3;;4;;3;;3.5;3.5;3;4;3.5;2;;3.45;3
79623R;5;;3;;2;;3;;5;;5;;4;;4;;4;;4;;3;;4;3.5;4;3.75;3.81;4;;3.93;4
79832R;5;;5;;4;;4;;4;;5;;4;;2;;3;;3;;3;;4.5;3.75;5;4;4.31;5;;4.19;4
80381N;4;;4;;5;;4;;4;;5;;5;;5;;3;;5;;4;;5;5;4.5;4.75;4.81;4;;4.38;4
80488E;1;;1;;1;;1;;0;;1;;1;;3;;1;;2;;2;;0;0;0;1;;;;2.62;3
81617P;0;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;;;;
81645C;4;;4;;;;;;;;;;2;muu;4;;4;;;;;;;;;;;;;;
81846R;4;;4;;3;;4;;4;;4;;4;;4;;4;;5;;4;;2.5;3;3;4;3.13;4;;3.81;4
81860K;3;;4;;3;;5;;4;;4;;3;;4;;4;;4;;3;;4;4;4;4;4;4;;3.85;4
82213A;3;;4;;3;;2;;3;;2;;3;;2;;3;;4;;3;;3.25;1.5;1;3.5;2.31;2;;2.87;3
83758H;5;;;;;;;;;;;;4;;0;;;;;;;;;;;;;;;;
83985F;4;;3;;3;;3;;4;;3;;2;;3;;3;;4;;4;;3.5;4;3.5;3;3.5;3;;3.42;3
83986H;3;;3;;3;;3;;3;;3;;2;;4;;3;;3;;2;;2;3.5;4;4;3.38;1;;3.06;3
84025J;4;;3;;3;;5;;4;;4;;3;;4;;3;;4;;4;;3.5;3;3.5;4;3.5;5;;3.88;4
84097D;6;;5;;5;;5;;5;;5;;3;;2;;5;;3;;5;;3.75;4.75;5;4;4.38;5;;4.6;5
84103L;4;;4;;3;;4;;3;;2;;2;;2;;2;;2;;4;;4;3.5;4;3;3.63;5;;3.52;4
84126R;0;;;;;;;;;;;;2;muu;5;;;;;;;;;;;;;;;;
84158J;3;;4;;3;;1;;2;;1;;0;1;3;;1;;3;;3;;3;2.5;2.5;2.5;2.63;1;;2.48;2
84220P;2;;4;;4;;3;;1;;2;;1;;3;;3;;2;;2;;2;2;2.5;2.5;2.25;1;;2.55;3
84239P;4;;4;;2;;4;;2;1;1;;2;;2;1;3;;3;;4;;3;1.75;1.25;2.5;2.13;1;;2.68;3
84251F;3;;5;;5;;4;;5;;4;;4;;3;;3;;4;;4;;4;4;4;4;4;3;;3.93;4
84280T;4;;4;;3;;1;;2;;1;;2;;4;;4;;4;;4;;2;1;1;2.5;;;;3.3;3
84306D;4;;4;;2;;4;;3;;5;;1;muu;2;;1;;2;;1;;1;2;4.5;2.5;2.5;3;;3.05;3
84326E;4;;3;;4;;4;;4;;3;;2;muu;4;;5;;5;;5;;4.25;4;4.25;3.75;4.06;3;;3.79;4
84429P;3;;3;;4;;2;;3;;3;;4;;1;;2;;2;;3;;3;4;4.5;3;3.63;4;;3.25;3
84493A;2;;1;;;;;;;;;;3;;4;;5;;;;;;;;;;;;;;
84517F;6;;6;;4;1;5;;5;;6;;5;;5;;4;;5;;5;;5;5;4;4.5;4.63;5;;4.94;5
84559L;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
84826M;5;;3;1;4;;5;;5;;4;;4;;3;;3;;3;;4;;5;4.5;4;3.5;4.25;4;;4.09;4
84851U;5;;4;;3;;3;;3;;2;;3;;3;;3;;3;;3;;3;2;3;3.5;2.88;1;;3;3
84855B;4;;5;;3;;4;;5;;5;;2;;4;;5;;5;;3;;4;4;4;4;4;4;;4.17;4
